Sentiment,SentimentText,Processed_Text
0,"#AMAAquentCR is making me feel old  But, lots of good insight!",make feel old lot good insight
1,"#puddingsongs Firestarter, maincourse pudding ",firestart maincours pud
1, pregnant couples are my fave,coupl fave
0,  cars being inspected today gonna cost me over 600 dollars ,inspect today gon na cost 600 dollar
0,- Won't someone PLEASE give me a job? Pretty please?! A physics degree has to count for something? ,someon pleas give job pretti pleas physic degre count someth
1,&quot;How do you send someone a mail message on this thing still trying to work it out&quot; Lol ,send someon mail messag thing still tri work outquot lol
0,"&quot;10 years, 10 pounds of M&amp;Ms&quot; + lack of self-restraint = upset stomach. I should have eaten the apple and kiwi Laura put in my lunch ",year 10 pound mampmsquot lack selfrestraint upset stomach eaten appl kiwi laura put lunch
1,"#e things are moving kind of slow..like... really slow. But, not as slow as nintendo.  hohoho",thing move kind slowlik realli slow slow nintendo hohoho
0,#haveuever LOVED SOMEONE THAT DIDNT LOVE U BACK? ,love someon didnt love u back
1,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better),crewislif want start morn later new york californian even better
0, i wasted more than a roll of film.,wast roll film
0," i am sick of being poorly now, it''s been a month of stomach problems and i'm fed up now",sick poorli month stomach problem im fed
0," I wanted the shiny shiny FA Cup. Berba can go away now, yesyes.",want shini shini fa cup berba go away yesy
1,#myweakness cuddles. and teddys. and animals. ,cuddl teddi anim
0,#haveyouever drive in the rain?  http://bit.ly/HfqMP,drive rain httpbitlyhfqmp
1,- So I was watching Robot Chicken last night and @officialTila was out it. I lol'd. ,watch robot chicken last night officialtila lold
0, im sorry. Both of you.,sorri
1,"#BGT on the box soon, hopefully th Boil that is Susan (maybe that should be boyle) wont win  Stavros Flatley for the chequered flag!",box soon hope th boil susan mayb boyl wont win stavro flatley chequer flag
1,#afazenda Animal esse reality show!  hein? hein?,anim ess realiti show hein hein
1,--&gt; Earrings for the Tiger kitten in you  http://bit.ly/D2JD9,ear tiger kitten httpbitlyd2jd9
0, off to be a ringer today..........poor poor poor johnny g,ringer todaypoor poor poor johnni g
0," sad times. my cousins' dog gordy died today, at 14. he was awesome!",time cousin dog gordi die today 14 awesom
0, i totally know how you feel,total know feel
1, A problem shared is a buck passed,problem share buck pass
0, god bless us everyone,bless us everyon
0," Girlfriend is in surgery, nothing really serious, but I hate she has to have total narcosis.",surgeri noth realli seriou hate total narcosi
0,- @jonswerens I can't get excited about Conan. ,jonsweren get excit conan
1,#musicmonday http://bit.ly/YS0ri  Sierra Nobel ~ Possibilities ,httpbitlyys0ri sierra nobel possibl
1,#eurovision - valenki - winter boots  i normal'no ),valenki winter boot normalno
0, my friends mom is at the hospital. pray for her.,friend mom hospit pray
0, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.,magic think less 50 chanc hedo stay orlando he gon na go blame though
1,&lt;3carl.russel.doug.kevin! haha. UP was like awww &amp; ha ha! good night! ,haha like awww amp ha ha good night
0, I'm going back to sleep...,go back sleep
0, I don't wanna be at work right now. I'm sooo tired and a smidge hungover,wan na work right im sooo tire smidg hungov
0, my ear just started bleeding,ear start bleed
0,#Primeval won't return for a 4th season! DNW! ,return 4th season dnw
1,"&quot;I don't like Monday, i wish it were sunday, cause that's my fun day.&quot;  that was my freaking jam when i was little.   i miss it.  ",like monday wish sunday caus that fun dayquot freak jam littl miss
1,#iremember playing street fighter and marvel vs. captain.. ,play street fighter marvel vs captain
0, jst received sm profound words 4rm the last guy I dated... thx Chigo,receiv sm profound word 4rm last guy date thx chigo
0," woe! even after updating my name, I'm not searchable by &quot;brilliance in sight&quot; maybe Twitter will catch up!",even updat name im searchabl quotbrilli sightquot mayb twitter catch
0, I just heard skins music and wants skins back on ,heard skin music want skin back
1,&quot;Our sweetest songs are those that tell of the saddest thought&quot; To A Skylark- Percy Bysshe Shelley. Reminds me of Taylor Swift ,sweetest song tell saddest thoughtquot skylark perci byssh shelley remind taylor swift
0,#haveyouever eatin a candybar in bed to wake up an everything is fucked up with chocolate ,eatin candybar bed wake everyth fuck chocol
1," Im watchin taken,, again! yay! haha",watchin taken yay haha
0, moving out of town soon..thought the time was so far away but it's not ;-(,town soonthought time far away
0, its Monday tomorrow,monday tomorrow
0,#inaperfectworld I would be married to tila  tequila... ,would marri tila tequila
1,#followfriday @Claire_SnugBaby ...Because her slings are FAB. Just bought one for my 17 m/o and she loves it! ,clairesnugbabi sling fab bought one 17 mo love
1,#FollowFriday Get a load of this guy! @TerenceSmelser &lt;--- Not afraid to speak his mind. #MayBlowYOURMind #PlaysWithGunsAndBIGTrucks ,get load guy terencesmels lt afraid speak mind mayblowyourmind playswithgunsandbigtruck
1,"&amp; im in major need of new cookware, dinnerware.. basically im a sucky housewife in the making ",im major need new cookwar dinnerwar basic im sucki housewif make
0,#spymaster gimme free money i only have 17 ,gim free money 17
1,"#goodsex when your man dips honey onto your body and he has to lick you out, if he doesn't - GIVE HIM A COLD SHOWER! ",man dip honey onto bodi lick give cold shower
0, has got no phone fr cupla days so facebook me (inbox) gt no laptop only ifone wf no sim x,got phone fr cupla day facebook inbox gt laptop ifon wf sim x
1,   @PERFEKTnCHANCE (Chance) is Boo #29,chanc boo 29
0, i try to fix things and all it does is make it worse. What else do i do.,tri fix thing make wors els
0,&quot;Advised&quot; to withdraw at mile 16 for heat exhaustion. It's going to be a long drive back to Atlanta. ,withdraw mile 16 heat exhaust go long drive back atlanta
0,#leno is officially gone  fuck you jimmy fallon,offici gone fuck jimmi fallon
1, steak and shrimp i'm excited,shrimp im excit
1, i got it nowww!!,got nowww
0, home and away (i've been home to watch this every day this week?),away ive home watch everi day week
1, now I found the final &amp; right song  http://bit.ly/urtkr,found final amp right song httpbitlyurtkr
1,#exremefirstaid course has made me realise how precious life is. Stay safe everyone ,cours made realis preciou life stay safe everyon
1,#140conf Smartarse with an average look or gud-looking w/o the brain &amp; talk/type like this &quot;~YeAhh  U eat liao? lolx.&quot; Stay away from me!,smartars averag look gudlook wo brain amp talktyp like quotyeahh u eat liao lolxquot stay away
0, I'm being confused..,confus
0,  Today is not a good day. But I guess laying around the house in your undies isn't so bad.,good day guess lay around hous undi bad
1,"#FF @qianam  Follow Qiana because she likes sports, is gorgeous and said she is going to tweet me up in person when she gets to LA ",qianam follow qiana like sport gorgeou said go tweet person get la
0, srsly...,
